iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,Latitude,Longitude,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,population,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,7/21/24,235214,0,0,7998,33.93911,67.709953,0,5506.84,0,0,187.25,41128772,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.42,18.6,2.58,1.34,1803.99,,597.03,9.59,,,37.75,0.5,64.83,0.51,41128772,,,,
ALB,Europe,Albania,7/21/24,335047,0,0,3605,41.153332,20.168331,0,120060.67,0,0,1291.82,2842318,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.87,38,13.19,8.64,11803.43,1.1,304.2,10.08,7.1,51.2,,2.89,78.57,0.8,2842318,,,,
DZA,Africa,Algeria,7/21/24,272083,0,0,6881,28.033886,1.659626,0,5807.74,0,0,146.88,44903228,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.35,29.1,6.21,3.86,13913.84,0.5,278.36,6.73,0.7,30.4,83.74,1.9,76.88,0.75,44903228,,,,
ASM,Oceania,American Samoa,7/21/24,8359,0,0,34,-14.270972,-170.132217,0,178803.61,0,0,727.28,44295,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.2,,,,,,283.75,,,,,,73.74,,44295,,,,
AND,Europe,Andorra,7/21/24,48015,0,0,159,42.546245,1.601554,0,585498.9,0,0,1938.86,79843,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.76,,,,,,109.14,7.97,29,37.8,,,83.73,0.87,79843,,,,
AGO,Africa,Angola,7/21/24,107481,0,0,1937,-11.2027,17.8739,0,2832.24,0,0,51.04,35588996,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.89,16.8,2.4,1.36,5819.5,,276.04,3.94,,,26.66,,61.15,0.58,35588996,,,,
AIA,North America,Anguilla,7/21/24,3904,0,0,12,18.2206,-63.0686,0,266849.7,0,0,820.24,15877,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877,,,,
ATG,North America,Antigua and Barbuda,7/21/24,9106,0,0,146,17.0608,-61.7964,0,97070.49,0,0,1556.37,93772,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.84,32.1,6.93,4.63,21490.94,,191.51,13.17,,,,3.8,77.02,0.78,93772,,,,
ARG,South America,Argentina,7/21/24,10113624,107,15.29,130685,-38.4161,-63.6167,0,221282.12,2.34,0.33,2859.34,45510324,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.18,31.9,11.2,7.44,18933.91,0.6,191.03,5.5,16.2,27.7,,5,76.67,0.84,45510324,,,,
ARM,Asia,Armenia,7/21/24,451944,0,0,8777,40.0691,45.0382,0,152033.23,0,0,2952.57,2780472,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.93,35.7,11.23,7.57,8787.58,1.8,341.01,7.11,1.5,52.1,94.04,4.2,75.09,0.78,2780472,,,,
ABW,North America,Aruba,7/21/24,44224,0,0,292,12.5211,-69.9683,0,409176.53,0,0,2701.69,106459,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.8,41.2,13.08,7.45,35973.78,,,11.62,,,,,76.29,,106459,,,,
AUS,Oceania,Australia,7/21/24,11861161,0,0,25236,-25.274398,133.775136,0,443781.22,0,0,944.2,26177410,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,37.9,15.5,10.13,44648.71,0.5,107.79,5.07,13,16.5,,3.84,83.44,0.94,26177410,,,,
AUT,Europe,Austria,7/21/24,6082414,12,1.71,22534,47.516231,14.550072,0,666900.7,1.32,0.19,2470.72,8939617,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.75,44.4,19.2,13.75,45436.69,0.7,145.18,6.35,28.4,30.9,,7.37,81.54,0.92,8939617,,,,
AZE,Asia,Azerbaijan,7/21/24,835636,94,13.43,10353,40.143105	,47.576927	,0,80816.42,9.09,1.3,1001.26,10358078,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.31,32.4,6.02,3.87,15847.42,,559.81,7.11,0.3,42.5,83.24,4.7,73,0.76,10358078,,,,
